open,close,high,low,volume,中国石化,中信证券,三一重工,招商银行,保利发展,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,片仔癀,通威股份,贵州茅台,山东黄金,恒生电子,海螺水泥,用友网络,海尔智家,闻泰科技,山西汾酒,海通证券,伊利股份,航发动力,长江电力,中国神华,兴业银行,中国平安,工商银行,中国太保,中国人寿,中国建筑,中国石油,中国中免,紫金矿业,中远海控,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,Date,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
5.37,5.27,5.37,5.2,188617805.0,4.78,13.4,5.26,9.43,4.43,5.9,8.95,11.8,4.63,10.02,8.47,4.8,103.95,15.46,6.23,9.76,5.07,4.07,8.11,12.46,13.36,4.07,12.67,5.41,14.52,7.24,19.11,2.59,16.71,22.09,2.14,9.23,8.88,4.12,9.49,5.497142857142857,5.572857142857143,0.03657401394760651,0.14755106163452006,5.867959266126183,5.277755019588103,5.310800908225393,1.451613827240533,2010-02-01,7.733371901749979,-0.03975396488466199,8.367517383174027,-0.020254011783012487,8.2760795455583,-0.012498636632546805
5.3,5.27,5.4,5.25,178762157.0,4.76,13.21,5.32,9.64,4.41,5.84,9.12,11.75,4.61,9.88,8.38,5.04,102.49,16.26,6.39,9.71,4.9,4.11,8.36,12.45,13.38,3.99,12.68,5.4,14.52,7.38,18.95,2.59,16.79,21.87,2.12,9.22,8.59,4.36,9.45,5.431428571428571,5.5476190476190474,0.04713465613589296,0.1448365685141283,5.837292184647304,5.257945910590791,5.283600302740931,1.451613827240533,2010-02-02,7.72186877134932,-0.039971889262747716,8.33999756660783,-0.020458958298582186,8.235712965037326,-0.012613551043420759
5.29,5.45,5.46,5.21,279235868.0,4.87,13.76,5.59,9.86,4.52,5.91,9.42,11.43,4.53,10.04,8.23,4.99,102.13,16.71,6.39,9.74,4.85,4.16,8.64,12.28,13.89,3.84,12.96,5.48,15.18,7.74,19.9,2.66,17.84,22.55,2.14,9.38,8.88,4.44,9.68,5.409999999999999,5.5285714285714285,0.04332712677314898,0.13811798922431823,5.804807407020065,5.252335450122792,5.394533434248156,1.4929040961781488,2010-02-03,7.710352796865981,-0.04018808459816558,8.312387076975952,-0.02066046883053081,8.195293218605693,-0.01272270710628785
5.37,5.39,5.45,5.37,168513484.0,4.8,13.62,5.49,9.77,4.52,5.82,9.42,11.55,4.55,9.92,8.19,5.23,103.77,16.3,6.29,9.85,4.9,4.12,8.56,12.27,13.8,3.92,13.26,5.49,14.88,7.71,19.69,2.64,17.81,22.47,2.16,9.29,9.1,4.35,9.55,5.37,5.512380952380953,0.04381707070732688,0.1395707705789451,5.791522493538843,5.233239411223063,5.391511144749375,1.47932922708708,2010-02-04,7.698824167307777,-0.04040253360022045,8.284688682855778,-0.02085847586762835,8.154827761552726,-0.012825983629737612
5.26,5.32,5.39,5.25,160240973.0,4.69,13.32,5.3,9.54,4.34,5.68,9.27,11.27,4.51,9.93,8.19,5.16,105.4,15.64,5.94,9.42,4.76,4.0,8.22,11.99,13.46,3.85,12.98,5.45,14.41,7.7,19.2,2.61,17.31,21.97,2.12,9.14,8.69,4.25,9.35,5.352857142857142,5.4990476190476185,0.04841893669307229,0.1401305782025074,5.779308775452633,5.218786462642604,5.3438370482497355,1.463255402256019,2010-02-05,7.687283072395854,-0.04061521898250625,8.256905164991833,-0.02105291171417043,8.114324048043645,-0.012923260308326396
5.33,5.27,5.34,5.23,135910689.0,4.65,13.59,5.31,9.33,4.24,5.58,9.26,11.15,4.4,10.06,8.16,5.11,105.39,15.76,5.94,9.43,4.66,3.96,8.18,11.82,13.62,3.88,12.71,5.42,14.37,7.57,19.21,2.59,17.64,21.89,2.12,9.13,8.63,4.25,9.4,5.334285714285714,5.4799999999999995,0.05490597790259688,0.14169927385321018,5.76339854770642,5.196601452293579,5.294612349416559,1.451613827240533,2010-02-08,7.675729702558579,-0.040826123463621626,8.229039315844238,-0.02124370849925707,8.07378952885325,-0.013014417809492711
5.26,5.32,5.34,5.25,96723617.0,4.67,13.61,5.34,9.44,4.24,5.6,9.2,11.05,4.38,10.28,8.03,5.19,105.31,16.13,5.94,9.41,4.7,4.02,8.21,11.76,13.75,3.88,12.65,5.43,14.53,7.65,19.47,2.61,17.76,22.04,2.13,9.18,8.5,4.3,9.45,5.327142857142857,5.463333333333334,0.05592595370529274,0.13460566188139017,5.732544657096114,5.194122009570553,5.311537449805522,1.463255402256019,2010-02-09,7.664164248925366,-0.0410352297678909,8.201093939135298,-0.02143079818652815,8.033231649101253,-0.013099337863338346
5.37,5.39,5.41,5.34,112104176.0,4.74,13.81,5.41,9.57,4.33,5.68,9.51,11.28,4.47,10.45,8.19,5.11,105.76,16.11,6.12,9.68,4.92,4.11,8.33,11.85,14.16,3.94,12.89,5.43,14.77,7.79,19.98,2.63,18.3,22.45,2.15,9.24,8.62,4.32,9.58,5.344285714285715,5.448571428571428,0.05119444711894605,0.13523760766264914,5.719046643896727,5.17809621324613,5.363845816601843,1.47932922708708,2010-02-10,7.6525869033204925,-0.041242520626101356,8.173071849394262,-0.021614112584378318,7.9926578459899265,-0.013177903355330303
5.39,5.38,5.42,5.37,99933485.0,4.76,13.81,5.49,9.59,4.4,5.73,9.72,11.33,4.53,10.17,8.15,4.92,106.71,16.65,6.18,9.82,4.92,4.14,8.27,12.02,14.04,3.9,12.86,5.42,14.86,7.72,19.93,2.63,18.23,22.48,2.17,9.26,8.49,4.33,9.62,5.359999999999999,5.446190476190476,0.04761587748068319,0.13601470508735752,5.718219886365191,5.174161066015761,5.374615272200614,1.4770487243883548,2010-02-11,7.640997858256869,-0.041447978776248735,8.144975871500419,-0.021793583356656793,7.952075546544919,-0.013249998421939349
5.4,5.43,5.45,5.39,108355199.0,4.83,13.85,5.65,9.73,4.43,5.8,9.76,11.36,4.68,10.35,8.2,4.95,106.53,17.18,6.27,9.85,4.98,4.15,8.3,12.0,14.04,3.97,12.96,5.43,14.99,7.83,20.0,2.65,18.42,23.02,2.17,9.36,8.53,4.41,9.76,5.357142857142856,5.444285714285714,0.040692058227261185,0.1356310785686122,5.715547871422938,5.17302355714849,5.411538424066871,1.4883995840570443,2010-02-12,7.629397306929789,-0.04165158696429085,8.116808840224442,-0.02196914203386556,7.9114921653598484,-0.013315508549234365
